ADP_BCID_Bayes	ADP_s_mean_Bayes	ADP_s_std_Bayes	ADP_s_time
0	0.3623636194797251	0.03380591308933492	9
1	0.585385637358953	0.030390352929738577	9
2	0.7298951273681913	0.045210619453381416	9
3	0.5490632773273539	0.031118168818562723	9
4	0.7295005147543756	0.03312920603777199	9
5	0.5007515817578113	0.044774783831722315	9
6	0.25751264547476005	0.035793056454135226	6
8	0.47294660051867404	0.03159739917938833	9
9	0.3039632531648563	0.028834368242125985	9
13	0.4468212251337576	0.037088283212662304	9
14	0.57072546324924	0.034826026998238946	9
15	0.34131926355776815	0.03752768713137828	9
16	0.4504345701009244	0.04036507931857905	9
17	0.5285755665327942	0.02962470929402663	9
18	0.48511346507121506	0.03483168135072443	9
19	0.5278546951195066	0.034738727013749957	9
20	0.4770999816485909	0.03927236627933778	9
21	0.33549941541638206	0.03986239081365239	9
22	0.8197479214149928	0.04737790730450678	7
23	0.6387195131179976	0.03235232003338747	9
24	0.5474827443526352	0.04336756771352576	9
25	0.6504806042750664	0.033614996700777854	9
26	0.3308442228667414	0.031243733885105124	9
27	0.46236865655635173	0.03402685604023613	9
28	0.42300631580579473	0.03686396124016312	9
29	0.4550146045635007	0.03928655806742617	9
30	0.29809174603970634	0.03207471934056002	9
31	0.25966020585174515	0.03253196621088173	9
33	0.6165605688235555	0.03891943639609056	9
35	0.3433615487419198	0.04346235268268945	8
37	0.1363863710499615	0.028170113729334808	9
38	0.4390624512265941	0.044000444958327625	9
39	0.15010369678984958	0.03453076060707209	9
42	0.4452930365472171	0.05099505785546473	9
43	0.5784959544488811	0.04280470684582958	9
44	0.35618862422984277	0.037575239646761446	9
46	0.46003299319654145	0.04443009989460333	9
47	0.4199680660926344	0.04080789874049623	9
48	0.625247272643352	0.03591477443502535	9
49	0.2739655211994862	0.04370727809289023	9
51	0.43014278354914304	0.03751963891414569	9
52	0.343629469646259	0.03273267013765379	9
53	0.31499670238337296	0.03460132958574703	9
54	0.43562621566024745	0.040165447985045136	9
55	0.1591573470525823	0.03784942500846987	8
56	0.5761100622084366	0.0585567148788347	9
57	0.3447058558262549	0.03170067607594076	9
58	0.7352674862678519	0.045587262989441935	9
60	0.7039214297899851	0.03756858317503034	9
61	0.35433635469989877	0.03497396403235086	8
63	0.4620066338210759	0.03875343701097103	9
64	0.4041955961268766	0.058773818426252046	8
65	0.45951881143834844	0.044121322059469954	8
66	0.6021495919701995	0.03661285761647182	9
67	0.3532940801877299	0.042340838304435	9
68	0.34726731208845885	0.03229061685212493	9
69	0.5598053691689208	0.033341098138375345	9
70	0.645447987290706	0.03201370196829014	9
71	0.8666345081748436	0.030471495100216378	9
72	0.6090457086624769	0.035898980436773906	9
73	0.3575215213176631	0.050207669884242336	9
74	0.38797181399055425	0.024480895182748753	9
75	0.23334822103642427	0.03981280384231378	7
76	0.5432201058413585	0.03789737149959842	9
77	0.6004877733787011	0.03300703213869268	9
78	0.6073445832721787	0.03305973223125687	9
79	0.4936940876092185	0.03182021043507657	9
80	0.49348101382276527	0.030546964498188056	9
81	0.19118340066701875	0.034187806063674046	9
82	0.3896413718691227	0.04070570778473385	9
83	0.3790349322108249	0.04873768976669396	9
84	0.5023440856511647	0.032799706862557385	9
85	0.7968759987823353	0.028101528466701532	9
86	0.20182491129451355	0.03898981450959576	6
87	0.46431116990185617	0.03934232619995398	7
88	0.8435583308828832	0.03192936470248328	9
89	0.6891018158052893	0.04145802073667676	9
90	0.4600305985986279	0.0354792350863509	9
91	0.3341352950341361	0.036986588297411006	9
92	0.45869768725620996	0.038595713681089744	9
93	0.4450775760469215	0.04250411083913845	9
94	0.506263129688464	0.06472884726532474	9
95	0.6870971318445476	0.06262089239594179	9
96	0.5323077143624632	0.044317735114041364	9
97	0.27159973049894454	0.04242051470707006	8
98	0.19645972066648504	0.029491061843714448	9
100	0.38387308937085635	0.03495940743115646	9
101	0.5071569027396859	0.0379673383018363	8
103	0.5977542924120174	0.033650300094344714	9
105	0.19540515607317052	0.033350289918689095	9
106	0.4301560549800613	0.032447837577226524	9
107	0.7770209714814215	0.03487945534964261	9
109	0.5797550396346842	0.03892488251667563	9
111	0.3383623379823734	0.04706288277466066	7
112	0.6743206781257597	0.033047299551819474	9
114	0.3687290085671659	0.03739419671580535	9
115	0.7381233347681088	0.03416374409645717	9
117	0.5929330480749104	0.030170780092033656	9
118	0.43361521183280655	0.030468024694857012	9
119	0.39912658642912097	0.03311440911838505	9
120	0.2715773750294155	0.03981100323867318	8
121	0.6185110786922611	0.03484290526509778	9
122	0.44638670741846154	0.03321991414222487	9
123	0.23294327197468898	0.03997126562171782	9
124	0.4687300478759129	0.04663879586951304	9
125	0.40084656160213217	0.04112877926641968	9
126	0.6275856272584328	0.029772541644706028	9
127	0.37402778703259254	0.03442866417001272	9
128	0.42185588963817244	0.030754527116722656	9
129	0.34341003235240314	0.03599257115524648	9
131	0.47075114062671947	0.03772728642288851	9
132	0.45862594023023695	0.027248028273000238	9
133	0.5780364114327698	0.035875364517638376	9
134	0.34168437872573515	0.03699298758693168	9
135	0.5616018220977629	0.03541602925284932	9
136	0.4056650852388734	0.0382082204392675	9
139	0.7769985312606287	0.038937559103135226	9
140	0.43933237978090045	0.0394250649735951	9
141	0.6697370303885258	0.034508415791816766	9
142	0.5658570596814548	0.043056093803742194	9
143	0.24902357849765958	0.05248316523929656	6
144	0.5546760817970453	0.034250707422718296	9
146	0.3781454733841699	0.03351958792368332	9
147	0.3146856938906288	0.04242081470417897	9
149	0.35734484022270985	0.0358528476862647	9
150	0.4231825129507113	0.03328180216079932	9
151	0.3285538717839051	0.03842447705380459	9
152	0.7269363327916005	0.029839639741720426	9
153	0.3985400186717183	0.047446120274233713	7
154	0.29628741660714686	0.06470469851871308	6
155	0.49231864699087363	0.03588992848483276	9
157	0.40675338391593774	0.0401507648254304	6
158	0.4565039124996021	0.04098104728031939	9
159	0.4781078670322453	0.035273239488060056	9
160	0.30099436651388806	0.037541708442317315	9
161	0.32027826711323704	0.03347512427107969	9
162	0.1959195266979841	0.04065639441155712	9
163	0.3141168877276878	0.050627033689875256	9
164	0.39242951000097537	0.037623845183682905	9
165	0.3601572226546511	0.03984919147185327	9
166	0.3533378431831026	0.03858764913855234	8
167	0.45427416290144257	0.03537522365051885	9
169	0.3315261728841324	0.0389868777869796	9
170	0.4889291556879081	0.04278834677937328	9
171	0.6087847447279897	0.028728039598396895	9
172	0.3314518707763004	0.0299918165160022	9
