listID	  BCID	TAG	 k	 a	 b	 s_mean	 s_var	 log_normalization 	 log_prob_survive_cummulated
292	 3174	Neutral	1.9560755409921546	 154.31702640412522	 0.2701471227205837	 0.10805889227459493	 0.0017153279671909324	 69.55248491562821	 -0.23168849978952974
283	 3036	Adaptive	2.4868308908541565	 379.05940097510586	 0.4280164660144732	 0.18831498508680802	 0.0013490525169780785	 66.95489950404681	 -0.010946871256211499
289	 3148	Neutral	2.0724885532148547	 134.0528107005638	 0.1895240189103546	 0.05356911001058797	 0.0012397270392546002	 93.13447871582275	 -0.3369247422782455
290	 3160	Neutral	3.0455271414211795	 273.8058135033121	 0.29093228219031286	 0.06034490986784069	 0.0008494089968807998	 85.05297976923636	 -0.13344246620854022
294	 3228	Adaptive	1.9049623976961754	 180.35436077063562	 0.2767648528959999	 0.1663092636145313	 0.0019376048109878844	 61.17234285334945	 -0.41287167733384644
293	 3190	Adaptive	2.340067603035144	 270.83944850702386	 0.4318356666431179	 0.1210503242608054	 0.0012263976104755305	 80.59512796405295	 -0.01645215248847509
295	 3247	Neutral	1.9767332176755033	 131.1072157412086	 0.23231327008353034	 0.07064421600403406	 0.0012523242840875408	 94.96070848725059	 -0.519522643239341
307	 3525	Neutral	2.809856980156886	 77.71568822267733	 0.11938546920936866	 -0.05075740405419143	 0.003193882491528827	 24.164072484127683	 -2.4188714176286013
296	 3298	Neutral	2.173930033296581	 208.30003130792178	 0.3283421643695449	 0.10146525927142792	 0.0011859674381406958	 92.27564883703192	 -0.0510664329902676
308	 3548	Neutral	2.030000632749695	 159.81888561159798	 0.3127715504140954	 0.052739953307956736	 0.0012170602981086728	 93.15537497995213	 -0.2779126392286414
297	 3311	Neutral	2.3925833160351915	 91.80739319576453	 0.09748093223424889	 -0.013247938316814568	 0.00134506030116016	 68.55244534309065	 -1.0583393865698176
298	 3320	Adaptive	1.9252635510025076	 170.84924336700522	 0.29326664321461016	 0.12565936304973735	 0.0012547716066103702	 94.44921054167389	 -0.14467484675949233
303	 3403	Adaptive	2.0234619101525113	 201.7542011458719	 0.2765095304599721	 0.13835243423350316	 0.0014063858455295231	 91.46567252387126	 -0.08770088272273925
302	 3397	Neutral	2.0802107020308775	 124.30354522776949	 0.1712579860995335	 0.05604514043561679	 0.0011471938145863534	 101.59376025745962	 -0.4687916643774004
305	 3439	Neutral	2.2604969272206357	 108.13819160575595	 0.15099066171667905	 0.035365149836424595	 0.001311453401258073	 76.54703922836259	 -0.44777162411490173
301	 3390	Adaptive	1.976657772579264	 191.8255351838176	 0.19921425810072826	 0.1234914551173813	 0.0010707217414484176	 117.48104172344219	 -0.2004248870613435
304	 3437	Adaptive	1.8598213927716387	 276.2922949291094	 0.43951061632503624	 0.3375744797039901	 0.0053469062461644285	 22.674450314014422	 -0.3246149226555694
300	 3377	Neutral	2.1653135377356585	 119.11115811192852	 0.16022943023292188	 0.10680398571085804	 0.0022765284473994195	 46.95574037488763	 -0.7466295674057833
299	 3345	Neutral	2.0765050715630347	 143.93598105940845	 0.2110081622257155	 0.16403302455365748	 0.003428247392140394	 32.34079671660494	 -0.9337627295640847
306	 3504	Neutral	2.007703614332404	 133.0969944515751	 0.2651605522585379	 0.06236678211646415	 0.0016578528941304299	 69.23112627551885	 -0.4522596152806362
314	 3638	Adaptive	1.9215557666008063	 188.271707887627	 0.3149060419855474	 0.1418006649446758	 0.0017453774164651016	 71.00552508427704	 -0.3686745332327118
316	 3669	Neutral	1.9912791817680469	 158.63695791993848	 0.22594036122446415	 0.10536357910226041	 0.0015399645222749637	 80.08276001884988	 -0.14521322553650617
310	 3594	Adaptive	1.8467861913250587	 198.14301800232877	 0.3070925316403784	 0.16103556084636456	 0.0014929939345630847	 84.8206659829304	 -0.17879248778797072
315	 3647	Neutral	9.513027093101847	 234.736197796415	 0.1193036895063831	 -0.0029984052250171234	 0.00177643877099161	 2.3788145638497333	 -1.7290893750269272
312	 3619	Neutral	5.323005972468792	 254.67223706214497	 0.15988376185123943	 0.02206314683110545	 0.0011855783606930963	 29.122736534942412	 -0.3298880686352408
317	 3702	Adaptive	589.4312197556902	 184.90559518750962	 0.08969505132043024	 0.13051241289192136	 0.0012234754684674431	 93.62259682957408	 -0.2031038323779061
313	 3635	Adaptive	3.373613915619334	 397.2172775862135	 0.37121557863077415	 0.1591228794757409	 0.0013501794471607116	 48.380764853170916	 -0.05615959006507856
309	 3581	Adaptive	3.6997858467552316	 271.0196078285135	 0.3224330632169267	 0.09066024913903362	 0.0014868647090169368	 38.469916847346255	 -0.3884923844561903
328	 4012	Neutral	2.1215341056427164	 142.16772219963997	 0.23509645788883035	 0.07451629700480678	 0.0011660253361200524	 96.80318116739483	 -0.3767975675680436
318	 3716	Adaptive	3.8857839451347433	 451.4803012691729	 0.33538931244095344	 0.15072993052092978	 0.0012781280082309365	 44.43392057865793	 -0.0639212134749482
330	 4032	Adaptive	2.293953670044702	 269.21195151914947	 0.4325561400698211	 0.10937796169207253	 0.0012912413988050554	 80.46021155287752	 -0.026001492251422332
319	 3740	Adaptive	2.266649312912081	 362.40492962918654	 0.4338229559880926	 0.23096920161680906	 0.0016332980891555877	 64.23153284133431	 -0.009374218877224215
320	 3766	Neutral	2.1512898082936807	 109.19029730344772	 0.15078476131172644	 0.10300423195787108	 0.003532045996865537	 29.560568102959444	 -1.089766664962943
322	 3853	Adaptive	2.280437068579231	 251.32064203224047	 0.3973269943923514	 0.11266477456928328	 0.0012504319264131046	 85.75749316255721	 -0.09437618815969949
321	 3779	Adaptive	1.8953557886988828	 159.98286505347332	 0.26638029109448	 0.1835285426483731	 0.0028282599334990915	 46.50388699454613	 -0.4476569096100699
326	 3953	Neutral	2.1121567577318374	 135.9834162991808	 0.2841697671092687	 0.03253486498604936	 0.0013196385102411837	 90.6521533775715	 -0.13245206015435812
311	 3615	Adaptive	2.8116269885064815	 337.93565030720396	 0.31539781749827867	 0.19847114534104898	 0.0015829632598401483	 50.168028338357104	 -0.04587099936498028
329	 4019	Adaptive	1.8719603098704785	 184.6353486719401	 0.34361380937319796	 0.14364238678149005	 0.0020393576468170195	 61.572244417107065	 -0.13657463137733666
323	 3898	Neutral	2.149078297232032	 117.16222349039637	 0.2032401122569751	 0.11621940011792539	 0.0032492442831787037	 30.955129252898296	 -0.6449538770486807
