listID	BCID	TAG	k	a	b	s_mean	s_var	log_normalization	log_prob_survive_cummulated	 log10 Bayes Factor
2	2	Adaptive	49.02642132298568	1381714.057121922	0.45919584626136745	0.7514825200360766	0.0029224139442638013	-8.8814371338311	-3.5216274341116165e-13	-3.8571591385936324
10	13	Adaptive	41.8368949505241	39712.02161200224	0.360525812715976	0.4351380485611034	0.002085530392332223	-6.383552385026599	0.0	-2.7723415757573946
1	1	Adaptive	105.54235512409812	1767947.8381683144	0.33387156141206237	0.5844999908027405	0.0011601670091082414	-9.883287880033063	0.0	-4.292257389359648
7	7	Adaptive	2.296766631044558	128.13395103935898	0.29953227803931465	-0.07334219386831728	0.007172732338077323	-0.41976818838934893	-0.12563090536876853
6	6	Adaptive	60.87262183099645	30933.792451267567	0.33803839270959796	0.257831604683324	0.0012881686755965615	-6.158335127475709	0.0	2.948223680993651
4	4	Adaptive	86.1878227248287	5522802.697881386	0.32622548577144095	0.747292097338964	0.0012488680301885133	-11.054913484843915	0.0	1.8315058462620804
5	5	Adaptive	39.53070656891015	103085.25280163072	0.38201460039082813	0.5215640341285247	0.0022058525859959006	-6.54365048438729	0.0	-2.841871296872941
3	3	Adaptive	65.5193786130249	338452.6284679418	0.3574431122270424	0.5597482253184296	0.0016205956510707033	-8.53517194783079	0.0	1.5512635127650445
11	14	Adaptive	103.73987227419694	1438949.6672314033	0.4226159055145145	0.5899465129192087	0.001866220229465894	-9.100118949684603	0.0	2.170918590216543
0	0	Adaptive	87.12684077812217	165347.99299157466	0.35263834369224284	0.3733773216150935	0.0013305236172534251	-7.1412785426179655	0.0	2.778311537498167
8	8	Adaptive	74.64003954625505	200104.4956470319	0.33365037787675283	0.4603561521865685	0.0013081376591230836	-8.521407651114462	0.0	-3.700800320927162
9	9	Adaptive	89.72317220655997	125249.76224841988	0.3357959627915604	0.30348112823025003	0.0011500091037377333	-7.525049838713989	0.0	3.0110685173070326
12	15	Adaptive	33.760308936671215	21890.42855482552	0.39818886564178146	0.34833791373772566	0.002188315387567054	-5.529683217785352	0.0	2.1837607280148013
22	25	Adaptive	50.1419993909044	116873.59120702506	0.3287219088775162	0.6354225220128547	0.0020597755104772675	-8.926950008130824	-2.7751356768514633e-11	-3.8769251287694586
16	19	Adaptive	88.35162016558075	581002.2315114698	0.37877828328852725	0.5340318693903005	0.001559192887406996	-8.546635932250808	0.0	-3.7117568242125807
18	21	Adaptive	30.488610020370018	16901.362132918654	0.39121586625246213	0.34165456365438523	0.0021196752217227588	-5.564054916561792	0.0	2.0490065676019786
13	16	Adaptive	62.09437432800712	180885.6896656659	0.3724077825707228	0.4751235167333833	0.0015981672700902808	-7.426410038352665	0.0	2.4482070824216215
21	24	Adaptive	45.88815849714887	232748.4405491289	0.3981375871779814	0.5719461479500538	0.0020945388607904376	-7.483611701550538	0.0	-3.250091266690004
20	23	Adaptive	82.14127089363012	1443352.2018323913	0.33623250176903674	0.631356598791959	0.0013026562798803636	-10.299780637776118	0.0	-4.473137895800124
17	20	Adaptive	66.81514296893037	131339.3107524725	0.35925813861101963	0.4964367294624354	0.0016037888777794714	-7.044382181994011	0.0	-3.0593363100575877
15	18	Adaptive	60.49315880994343	145514.82876797218	0.34352805724078866	0.4821713611355322	0.0014981929153653312	-7.763351372203988	0.0	-3.3715806620242303
23	26	Adaptive	54.18835333634423	46952.0064065853	0.34765174587095043	0.3447529788880213	0.0014596073231802804	-6.146971244234625	0.0	2.3879070908057494
14	17	Adaptive	116.46785583380189	1793606.247692497	0.37427421789662163	0.542214938682341	0.0013712173391827235	-9.577762264291541	0.0	2.6260403100255405
31	35	Adaptive	34.04624515080385	33171.40854324462	0.45033143367294826	0.37624569015500975	0.002595917563023145	-5.3312637215430625	0.0	3.1701078646600354
32	36	Adaptive	14.128207994082086	4126.6155472192595	0.5032826207797225	0.22153744783337684	0.003225396948146519	-2.6050689707322503	0.0	-1.1313670789664003
19	22	Adaptive	62.84146958109505	10205380.44533496	0.4646946131159602	0.8442419452489092	0.0024189987758315	-10.636598811480816	0.0	-4.619416170044806
27	30	Adaptive	53.66101910789549	30638.01304416464	0.29810308886084136	0.3008439844431096	0.0011902144668854055	-6.355917970221477	0.0	2.5674488629076526
28	31	Adaptive	43.73253999667067	17535.03957752852	0.3298414186903438	0.2526894356520911	0.0013303242844756248	-5.029657238739327	0.0	-2.1843523846492365
30	34	Adaptive	10.558941934144125	1451.98259229269	0.2358360003116514	0.12819092793300907	0.002457134011166093	-5.297323300214877	-3.968248066457779e-06	3.161197913360837
