listID	BCID	TAG	k	a	b	s_mean	s_var	log_normalization	log_prob_survive_cummulated
8	8	Adaptive	50.62148911610331	70570.96109554925	0.45696182275979813	0.29795101359765885	0.0621900529910799	-6.176517878126592	0.0
3	3	Adaptive	34.80354630702784	41434.11071963345	0.40193434905100583	0.38041094877598153	0.054074000411328475	-5.999109222494635	0.0
1	1	Neutral	70.49762892321671	173316.18265147283	0.4352993995046722	0.43998885002898	0.05444132323539252	-7.301032477311759	0.0
0	0	Adaptive	71.22872297667612	131052.26484942205	0.4446359752795677	0.21830851012546446	0.0571478312127642	-6.697965285741827	0.0
2	2	Adaptive	19.154083977105856	29246.571847309322	0.3277211240081146	0.7299538070443987	0.05309548917360293	-6.685725347510438	-3.5216274341116165e-13
6	6	Adaptive	64.42773595005538	94871.09361136648	0.4198140626109134	0.1796754038498303	0.05155805344927985	-6.489779467401282	0.0
9	9	Adaptive	81.0321675635845	244270.915068211	0.41928795695161275	0.2562300154133412	0.04995644297771402	-7.1963617498913255	0.0
10	10	Adaptive	1.152704680368545	112.04706390271335	0.49217599188279804	-0.17231528621396605	0.41310574433274844	-0.4387830959264001	-6.656096888572175
7	7	Adaptive	23.594667129985602	7445.229814692903	0.45590695372718704	-0.2595280311337656	0.0718230784701747	-4.185428185053284	0.0
11	11	Adaptive	9.299455447844917	2354.1508907472216	0.42898355145138456	-0.12441251059028804	0.09902331372282665	-3.3184096109552472	-1.1774279710666432e-06
4	4	Adaptive	47.53089099027292	134761.58087094568	0.38491905333372256	0.727039283865406	0.04771560604233909	-7.855671966281555	0.0
21	21	Neutral	28.535015560769654	19053.085058357137	0.38743812767850055	0.2108180595144017	0.05586566460728455	-5.30871957192709	0.0
15	15	Adaptive	27.88779067011635	27929.45775284574	0.42624886486101354	0.3244815978962063	0.06356616947425703	-5.669401087644018	0.0
17	17	Adaptive	79.45125424053157	325552.63624535094	0.40606940275058395	0.5000301102990751	0.046992735180100734	-8.257726502743823	0.0
12	12	Neutral	9.268547399484712	2837.6844326017385	0.4251573597416278	0.01122486114481863	0.09943175474024606	-3.469213005850099	-9.244312176692347e-05
13	13	Neutral	27.317865250584138	22774.509549704806	0.37264079639217024	0.3268645990135506	0.05135626744753108	-5.520282459602716	0.0
18	18	Neutral	39.397990910529366	60071.11867412111	0.37759153644940374	0.5398064650548736	0.04733276231751071	-6.70776799203888	0.0
5	5	Neutral	21.792391230200895	13160.378337393538	0.38739252590556444	0.18513726263463748	0.05839344122964537	-4.86018402542069	0.0
19	19	Adaptive	54.83300558639535	157553.92087317113	0.3912366911885482	0.6682412040358034	0.048197932713278616	-7.693496178216112	0.0
20	20	Neutral	32.17118337878217	29915.74543015962	0.39781446069332427	0.323848735876134	0.05533308301025073	-5.754822969632039	0.0
16	16	Adaptive	42.10953178847172	68704.71555008444	0.39168996481649904	0.4930920957707787	0.04838189884953855	-6.839695617955189	0.0
14	14	Adaptive	60.093055091872664	154364.71687760626	0.3959151272836882	0.5303331663518074	0.047506964936600796	-7.562466407781716	0.0
23	23	Neutral	52.58190937819505	88330.64106043433	0.37783681436470185	0.48018656214358163	0.044049298051598046	-7.028289485719009	0.0
22	22	Adaptive	35.591923595736596	113869.59867374288	0.39107746227227685	0.966420015970082	0.05297087082811837	-8.301169454050864	0.0
24	24	Adaptive	25.23757873849083	28500.289660746254	0.4052875561666356	0.5087918833629277	0.060095057669133894	-5.957752433715975	0.0
25	25	Adaptive	14.162466687008447	5493.5366306846	0.4578053207948217	0.010361900730383402	0.08614578162430316	-3.9315272923668507	-1.5329726378363993e-10
30	30	Adaptive	53.073448314655145	68929.54304494888	0.4342054566113909	0.27046046126117423	0.05650342454642385	-6.327618370040019	0.0
27	27	Adaptive	38.64890455640698	52811.3818016274	0.42846806157782735	0.4068930448285263	0.057551344124985374	-6.184643225870281	0.0
31	31	Adaptive	49.78935831781661	30954.801714563815	0.45759486601807453	-0.11936063028432604	0.06168185209042475	-4.960110890421493	0.0
26	26	Adaptive	51.09406935286612	49466.61632185923	0.4024026491742227	0.17886381264759912	0.04972981583759052	-6.119334404711196	0.0
28	28	Adaptive	49.051301907765314	67741.93143962261	0.4047501503280104	0.3442699130539856	0.05032804965267138	-6.486450219251733	0.0
29	29	Adaptive	60.81490558808404	115860.63419284608	0.42164254613484803	0.4050883667926543	0.052405449465042525	-6.6224881401285245	0.0
32	32	Adaptive	15.827508908621713	5279.817323927169	0.44674724861784576	-0.09725453067803312	0.07921334700018122	-3.944737073537742	-1.2073897437476391e-11
35	35	Neutral	33.76928901709536	40679.77543068007	0.3823815639621984	0.48342711707815744	0.05133618937406991	-6.390709911097336	0.0
34	34	Adaptive	29.110865403038275	15513.124296002881	0.42631424777727533	0.020200659722271884	0.061443232025919045	-4.883443945998466	0.0
33	33	Adaptive	17.313858191552324	15321.488413377594	0.40678796133591194	0.41904388537108317	0.06947509275299912	-5.29476771694072	-4.0401015866117605e-13
36	36	Adaptive	25.941697782315185	21519.228325406053	0.4085270196223225	0.28348729837944514	0.05872201602061406	-5.184795436316738	0.0
38	38	Adaptive	12.160072485092694	5716.383305340382	0.3909280946606152	0.18258032013197026	0.07894229847680077	-4.079018266463927	-7.378709038441443e-08
43	43	Neutral	21.187178183499444	21476.401898655015	0.3650628310736407	0.5583891508963706	0.05872545092574463	-5.90263599434763	-1.2501111257280045e-13
41	41	Adaptive	19.57265748764222	11968.493786863299	0.40255904889756744	0.164987827121198	0.06530457709055226	-4.802628273910913	-1.1102230246251565e-16
39	39	Adaptive	45.58819963592175	36852.46892516529	0.4133815846864617	0.04606466387846854	0.050718990474957926	-5.62674197409427	0.0
42	42	Adaptive	12.915900228756072	8148.780262621055	0.37808567565893614	0.37495950377666515	0.07750784306772426	-4.719132986370498	-1.6275330120210202e-07
40	40	Adaptive	39.36394170323273	35311.76801533933	0.4024722097393347	0.1967937388777225	0.05303294283871335	-5.766243170181724	0.0
46	46	Adaptive	25.928777403388718	32830.88285700358	0.38067657447372877	0.5329959984900943	0.05537915288527913	-6.258559345689709	0.0
37	37	Adaptive	78.38064773976953	207969.16957206323	0.40415248133077936	0.0669799338486073	0.04565634765132305	-7.321433441472379	0.0
47	47	Neutral	15.356779608930688	11274.174266920048	0.3994622919037535	0.32737457385257884	0.0740153173780389	-4.96253333273374	-4.498501571349608e-11
48	48	Adaptive	75.08228254485029	345788.1517785044	0.3927836924099489	0.6804813735022724	0.044514899123550195	-8.551213914152328	0.0
44	44	Adaptive	31.510190917168735	38700.50716324887	0.3843209695760699	0.44393185698552606	0.05110507063100784	-6.086393134289993	0.0
45	45	Adaptive	63.78545976653805	62965.47705628485	0.442213776090339	0.01854123121544711	0.05556130687958645	-5.917686065311308	0.0
49	49	Neutral	19.887053116989758	8881.933593036621	0.3922436489138491	-0.0188029298362328	0.06187183304086036	-4.491913698773783	-4.440892098500627e-16
55	55	Adaptive	46.79252680963363	55932.76086724577	0.4352254820121723	0.24570965511237408	0.057061487192484536	-6.1087991698624755	0.0
58	58	Adaptive	16.800398837372168	26298.366585181346	0.3588068095138094	0.7586954981820867	0.062197063391975574	-6.314983304458229	-2.3953061756574626e-11
56	56	Neutral	7.268981177226234	2941.346391668646	0.39695922004069223	0.2160021735093902	0.11274415587458998	-3.53970993593241	-0.00029315664344791917
50	50	Adaptive	37.83301331973985	24021.80851648252	0.4410204836731195	-0.013006820988590469	0.060675855078596075	-5.081772489461896	0.0
52	52	Neutral	32.39203245748233	25883.130772747176	0.4229729168024317	0.19993916207512205	0.05938028318680927	-5.395072375784523	0.0
51	51	Adaptive	29.560011157322023	38327.07585333169	0.37389165430676014	0.5351379169908641	0.05205244524226787	-6.433695933397052	0.0
59	59	Adaptive	2.440248063942416	213.20147522763725	0.7268549905964202	-0.7273808891635526	0.23445293595292904	-1.6194394510471963	-0.003516158969892762
53	53	Adaptive	84.26921700273844	298038.00055183	0.3729428585166426	0.3550880335257605	0.039953071219370216	-7.987529114998726	0.0
57	57	Adaptive	60.08940033348602	84157.91575870266	0.40490779562773394	0.2870256158672748	0.04848386502204046	-6.597646565595278	0.0
54	54	Adaptive	47.123056749612296	90214.69057551102	0.3799906473329843	0.5827347451139281	0.046332827464442956	-7.0744837935465785	0.0
62	62	Adaptive	20.00604025623365	21733.092671509232	0.3830949322919634	0.6283282836342704	0.06323733987455958	-6.065374073113484	-2.8641533589320804e-12
61	61	Neutral	54.68722129397166	92207.98997711841	0.3938036485277518	0.4254074207728687	0.046778938844162496	-6.804897520586772	0.0
60	60	Neutral	52.11448073995165	138003.4069947331	0.3764413544694863	0.7172399796214108	0.04355415790811729	-7.736816279617976	0.0
63	63	Adaptive	57.623547781721385	131754.33091880364	0.3997372011565203	0.5708302135037138	0.04819625970501833	-7.467862209907653	0.0
66	66	Neutral	42.98359365647794	86410.00349954375	0.3989996621592852	0.6318354551708452	0.05077106490586088	-7.060369921187536	0.0
65	65	Adaptive	31.418402802509124	42105.301346502776	0.39314528359255435	0.49487920654317186	0.052416946836752826	-6.3658497235509595	0.0
64	64	Neutral	13.834019075348445	17362.4283885551	0.330036653059919	0.7159381670905745	0.06318367220156831	-6.152430523721583	-1.723376389790375e-08
67	67	Adaptive	27.83365575939521	31033.885354811464	0.3798907158224673	0.47164780359472613	0.05348332895313515	-6.093283907334314	0.0
70	70	Neutral	22.019401570626506	25686.219966508	0.35197652128278945	0.5538022947320715	0.05211796523773519	-6.117495328460114	-3.33066907387547e-16
68	68	Adaptive	31.53934726387931	11601.22137240044	0.42785306234912784	-0.2599042872754161	0.060321778552071444	-4.6099724168986045	0.0
71	71	Adaptive	52.766693353705605	160306.39841476537	0.42173275979586256	0.6949076356874694	0.054284763412800655	-7.573592920881662	0.0
69	69	Neutral	49.1322235690183	116985.37885368196	0.3980340931218972	0.603030151997949	0.050356375957645964	-7.4283877282647195	0.0
72	72	Neutral	25.67569733019776	28583.24005746886	0.3930603761265051	0.4492609211682864	0.05803324827180619	-5.877797922810061	0.0
77	77	Adaptive	33.6291308520159	53789.82311377695	0.379967278976463	0.5807683734536562	0.04990979261671132	-6.7930409033362595	0.0
73	73	Neutral	14.972659016753857	4789.408182471198	0.45575939738632254	-0.10257359057494478	0.08535193680480932	-3.882349122716583	-4.971958401781892e-10
74	74	Adaptive	55.224801603057934	53388.80000851618	0.4259379897245961	0.06187340202533968	0.05331688243604128	-5.910655079247062	0.0
75	75	Neutral	47.43956499616313	50044.91367562613	0.4125583553302011	0.23052605236065857	0.05362742251964658	-6.181911168154012	0.0
76	76	Adaptive	23.96860620250421	20456.924499836223	0.4117118013889016	0.3963372678305691	0.06472248095727483	-5.4099660237964295	0.0
78	78	Neutral	48.14192748865995	74446.87914516349	0.42244399366357765	0.4398327987174073	0.05635882268819944	-6.5723774223460705	0.0
79	79	Neutral	70.5519628172467	191181.14703261125	0.42572571916059077	0.38972554897262823	0.05236876261472835	-7.293352171344515	0.0
82	82	Adaptive	15.281531271306438	4916.41621583952	0.42794605412374287	-0.1259733979759141	0.07643525263011652	-3.931814801469658	-4.311662138443553e-12
81	81	Neutral	65.49624149330575	96730.10023713141	0.4261911930448893	0.12293402089294095	0.05265784796047194	-6.222991439071738	0.0
83	83	Neutral	19.098063757381546	18249.50916625759	0.4073496638888324	0.42607020606194373	0.06398710215370795	-5.027169624905304	-7.32747196252606e-15
80	80	Adaptive	32.4569824403463	27723.22043584042	0.39786474212895084	0.2681995731153306	0.054900541454254485	-5.607861525600981	0.0
89	89	Adaptive	18.74678386160102	30104.427933834853	0.36469307760085423	0.7108850096250279	0.05730005240412222	-6.5408281276816576	-8.215650382226495e-14
87	87	Adaptive	39.03821878033874	55879.71600554736	0.41281774348454675	0.41256949674513943	0.05506153969987047	-6.244319757538784	0.0
84	84	Adaptive	55.32229428215975	105587.0628930212	0.39563016281512126	0.4379786688646722	0.04688063657006472	-7.235717878545614	0.0
86	86	Adaptive	54.957574917654576	45572.99672807926	0.3982620591514769	0.08228685112339203	0.04834312426780614	-6.020918705344753	0.0
88	88	Adaptive	65.78253186737464	266230.55355025217	0.4362113351082704	0.7795679838569268	0.055597045065023006	-8.317810599737962	0.0
85	85	Neutral	93.25123330572215	1062125.1696225198	0.4212920500399162	0.7932357130654147	0.0492500831602463	-9.682346751047223	0.0
91	91	Adaptive	38.17477727841454	30214.132137709796	0.39883875512789496	0.21899203744669157	0.05243495325775991	-5.552072148565445	0.0
94	94	Adaptive	9.882564832310823	10455.669044058879	0.29494389767767465	0.8601846617300593	0.09469875584883626	-6.098444438943128	-0.0007286327812977944
95	95	Adaptive	8.672830977923764	12523.521398324243	0.27221597189382063	1.082172753355838	0.09316794148734507	-6.954972620658808	-0.007390564931667246
90	90	Adaptive	73.66383056120416	226615.38722733216	0.3910153984929407	0.4071101500637028	0.04425804479438238	-7.660958981674475	0.0
92	92	Adaptive	22.409625025077013	35109.68335736282	0.35655819600848226	0.6874936679906545	0.05396528035916244	-6.718558224057327	-1.1102230246251565e-16
93	93	Neutral	33.508045015006374	41378.543804343484	0.37276632563377926	0.46218553092564063	0.048615774584548646	-6.301355652809561	0.0
96	96	Adaptive	17.208526990035185	17362.173941654382	0.3694677955908938	0.5186831958840892	0.0641258408123651	-5.651984950448967	-3.224642775028966e-12
104	104	Adaptive	17.862169955089048	5913.561395543943	0.3974475677482222	-0.15888576286901285	0.06401099134084613	-4.091741500550654	-3.725981197191606e-09
